gsmc,gzdd,gxsj,zwmc,zwyx
山东软程互联科技有限公司烟台分公司,烟台,12-17,底薪4000起招聘零基础开发实习生+五险一金+住宿,4001-6000
山东软程互联科技有限公司烟台分公司,烟台,12-17,底薪4000五险一金招聘零基础IT助理,6001-8000
烟台喜纳里网络科技有限公司,烟台,12-17,棋牌游戏策划,8000-15000
烟台喜纳里网络科技有限公司,烟台,12-17,Unity3D游戏开发工程师,10000-20000
烟台创鑫自动化科技有限公司,烟台,12-17,软件开发与现场维护,4001-6000
赢时胜软件,北京,12-16,JAVA（2年以上） ,10001-15000
烟台金纽扣网络科技有限公司,烟台 - 芝罘区,12-17,PHP开发工程师,4001-6000
烟台康宸网络科技有限公司,烟台,12-17,php后台开发工程师,5000-10000
烟台康宸网络科技有限公司,烟台,12-17,ios开发工程师,4000-8000
烟台大境生态环境科技股份有限公司,烟台 - 莱山区,12-17,系统集成 工程师,6001-8000
知新思明科技(北京)有限公司,北京 - 西城区,12-17,嵌入式软件开发工程师,15001-20000
北京博达兴创科技股份公司,北京,12-17,ArcGIS工程师,10001-15000
北京速通科技有限公司,北京,12-17,系统架构师,15001-20000
深圳项目预上线联调,北京,12-17,java开发工程师,6001-8000
中科普开(北京)科技有限公司,北京 - 朝阳区,12-17,Hadoop/Spark大数据讲师,10001-15000
烟台腾联信息科技有限公司,烟台,12-17,软件工程师,4000-7000
烟台汉玉实业有限公司,烟台 - 芝罘区,12-17,web前端设计,6001-8000
烟台向量土木工程咨询有限公司,烟台,12-17,兼职C#程序员,2001-4000
山东蓝色空间地理信息工程有限公司,烟台,12-17,软件工程师,4000-6000
烟台聚泰网络科技有限公司,烟台,12-17,策划文案,4001-6000
山东星火吉民生电子商务股份有限公司,烟台,12-17,PHP开发工程师,6001-8000
智联招聘,北京,12-17,数据仓库,20001-30000
北京新汽联科技有限公司,北京,12-17,高级Android开发,15000-25000
北京威速科技有限公司,北京,12-17,实习产品设计师,3000-4000
北京战策互动科技有限公司,北京,12-17,Python游戏服务器开发,10001-15000
天信达信息技术有限公司,北京,12-17,.net开发工程师,8001-10000
北京中奥通宇科贸有限公司,北京,12-17,PHP开发工程师 电商,8000-15000
烟台大境生态环境科技股份有限公司,烟台 - 莱山区,12-17,JAVA工程师,8001-10000
山东星火吉民生电子商务股份有限公司,烟台,12-17,前端,4001-6000
深圳腾讯计算机系统有限公司 ,烟台,12-17,SNG12-高级后台研发工程师（烟台）,面议
烟台向量土木工程咨询有限公司,烟台,12-17,C#程序员,2001-4000
北京亿佰教育科技有限公司,北京,12-17,中级软件工程师,10001-15000
知行思远信息技术(北京)有限公司,北京,12-17,Java高级工程师,5000-10000
北京信安通靶场装备技术有限公司,北京 - 西城区,12-17,软件开发工程师,10001-15000
中金数据系统有限公司,北京,12-17,系统架构师,20001-30000
时空幻境(北京)科技有限公司,北京,12-17,u3d前端开发工程师 ,10001-15000
烟台向量土木工程咨询有限公司,烟台,12-17,实习C/C++程序员,2001-4000
烟台向量土木工程咨询有限公司,烟台,12-17,C/C++程序员,8001-10000
山东鼎信网络科技有限公司,烟台,12-17,asp.net工程师,4000-8000
烟台北方微波技术有限公司,烟台 - 开发区,12-17,APP软件工程师,2001-4000
烟台惠农金服网络科技有限公司,烟台,12-17,软件开发,3000-4000
北京国信华源科技有限公司,北京,12-17,嵌入式软件开发工程师,15001-20000
知行思远信息技术(北京)有限公司,北京,12-17,Java高级工程师,5000-8000
调调(北京)科技有限公司,北京,12-17,单片机软件工程师,8001-10000
知行思远信息技术(北京)有限公司,北京,12-17,Java高级工程师,15000-25000
智联招聘,北京,12-17,JAVA开发工程师,18000-35000
烟台惠农金服网络科技有限公司,烟台,12-17,软件开发,3000-4000
烟台汉玉实业有限公司,烟台 - 芝罘区,12-17,网站美工,6001-8000
烟台卓安电子科技有限公司,烟台 - 芝罘区,12-17,售前系统集成工程师,4001-6000
龙口龙泵燃油喷射有限公司,烟台,12-17,C++研发工程师,4001-6000
上海振田贸易有限公司,北京 - 朝阳区,12-17,IOS手机软件开发工程师【底薪8000+绩效+奖金+双休+享公寓食宿】,15001-20000
上海振田贸易有限公司,北京 - 朝阳区,12-17,WEB前端开发【底薪8000+提成+绩效+奖金+多项补助+弹性打卡双休】,15001-20000
